用例编号,所属产品,所属模块,相关研发需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例,附件
1168,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),UI测试  必填项是否有特殊符号标识，如一般用红色*号表示。,,1. 观察必填项是否有特殊符号标识,1. 是,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1167,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),UI测试  单名称、打开窗口的标题栏、权限名称等命名是否一致。,,1. 观察单名称、打开窗口的标题栏、权限名称等命名是否一致。,1. 一致,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1166,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),UI测试  表格类:表头文字是否居中;列表中，文本类是否左对齐(相同字数或字数相差不大的列居中)，数字类右对齐(序号列居中)，日期居中。,,1. 观察表头文字是否居中,1. 居中,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1165,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),UI测试  整体界面的美观性:窗口是否居中，按钮、文字、输入框等是否大小适中、排列整齐。,,1. 观察窗口是否居中,1. 窗口居中,1,,3,其他,,正常,0,2,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1164,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  任务栏自动隐藏与不隐藏情况下的显示，整体的界面显示是否正确。,,1. 观察任务栏自动隐藏与不隐藏情况下的显示，整体的界面显示是否正确。,1. 是,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1163,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  窗口是否允许最小化、最大化、移动，但提示信息等弹出窗口一般固定大小、不允许缩放,,1. 对窗口进行最小化、最大化、移动操作，观察是否成功,1. 成功,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1162,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  对于要求用户输入的内容是否明确。,,1. 用户输入的内容是否明确。,1. 明确,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1161,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试 【确认】按钮是否放在【取消】按钮的左边。,,1. 观察【确认】按钮是否放在【取消】按钮的左边。,1. 是,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1160,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  录入界面中，有默认的光标定位，是否支持鼠标和键盘操作,,1. 观察录入界面中，有默认的光标定位，是否支持鼠标和键盘操作,1. 是,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1158,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  单名称、打开窗口的标题栏、权限名称等命名是否一致。,,1. 观察单名称、打开窗口的标题栏、权限名称等命名是否一致,1. 一致,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1156,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),UI测试  整体界面的美观性:窗口是否居中，按钮、文字、输入框等是否大小适中、排列整齐。,,1. 窗口与窗口互相浏览,1. 窗口居中,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1154,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试  窗口是否允许最小化、最大化、移动，提示信息等弹出窗口是否固定大小、不允许缩放,,1. 对窗口进行最小化操作，观察是否成功,1. 成功,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1153,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试  对于要求用户输入的内容是否明确。,,,,,,3,其他,,正常,0,1,0,通过,梁宇,2021/12/10,梁宇,2021/12/10,1,,
1152,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试 【确认】按钮是否放在【取消】按钮的左边。,,1. 观察确认】按钮是否放在【取消】按钮的左边。,1. 是,1,,3,其他,,正常,0,1,1,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1151,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试  录入界面中，有默认的光标定位，是否支持鼠标和键盘操作。,,"1. 观察有默认的光标定位，是否支持鼠标
2. 观察有默认的光标定位，是否支持键盘操作","1. 是
2. 是","1. 
2.",,3,其他,,正常,0,1,2,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
1149,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试  单名称、打开窗口的标题栏、权限名称等命名是否一致。,,"1. 观察单名称与标题栏命名是否一致
2. 观察单名称、打开窗口的标题栏、权限名称等命名是否一致。","1. 是
2. 是","1. 
2.",,3,其他,,正常,0,1,2,通过,梁宇,2021/12/10,梁宇,2021/12/11,2,,
986,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用未注册的手机号和错误的验证码注册,手机号未注册,1. 点击登录-注册，输入未注册的手机号和错误的验证码,1. 提示验证码错误,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
981,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用已注册的手机号注册,手机号已注册,1. 点击登录-注册，输入已注册的手机号,1. 提示该手机号已注册，请更换手机号，注册失败，停留在注册界面,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
980,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用未注册的手机号登录,手机号未注册,1. 点击登录，输入未注册的手机号,1. 提示账号或密码错误，登录失败,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
979,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),UI测试-必填项是否有特殊符号标识，如一般用红色*号表示,,"1. 观察是否有必填项
2. 观察必填项是否有特殊符号标识","1. 有
2. 有","1. 
2.",,3,其他,,正常,0,1,2,通过,燕子,2021/12/10,梁宇,2021/12/11,2,,
975,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用正确的手机号和正确的验证码登录,手机号已注册,1. 点击登录，输入正确的手机号和正确的验证码,1. 提示登陆成功,1,,3,安全相关,"
功能测试阶段",正常,0,2,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
970,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411),UI测试-必填项是否有特殊符号标识，如一般用红色*号表示,,1. 观察必填项是否有特殊符号标识,1. 是,1,,3,其他,,正常,0,2,1,通过,燕子,2021/12/10,梁宇,2021/12/11,2,,
967,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用正确的手机号和错误的验证码登录,手机号已注册,1. 点击登录，输入正确的手机号和错误的密码,1. 提示验证码错误，登录失败,1,,3,安全相关,"
功能测试阶段",正常,0,2,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
966,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用错误的手机号和错误的密码登录,手机号已注册，但和密码不匹配,1. 点击登录，输入错误的手机号和错误的密码,1. 提示用户名或密码错误，登录失败,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
962,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用错误的手机号和正确的密码登录,手机号已注册，但和密码不匹配,1. 点击登录，学生用错误的手机号和正确的密码登录,1. 提示用户名或密码错误，登录失败,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
958,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用正确的手机号和错误的密码登录,手机号已注册前端,1. 点击登录，输入正确的手机号和错误的密码,1. 提示用户名或密码错误，登录失败,符合预期结果1. 符合预期结果,,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
956,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生登录及注册(#418),学生用正确的手机号和正确的密码登录,手机号已注册前端,1. 登录输入正确的手机号和正确的密码,1. 提示登陆成功,符合预期结果1. 符合预期结果,登录,3,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
939,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),删除有子分类的分类,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 勾选有子分类的分类，点击删除
3. 点击确定","1. 跳转到分类管理界面
2. 弹出窗口提示“确定要删除吗”
3. 弹出窗口提示“此分类有子分类无法删除”，删除失败，分类列表不变","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",子分类,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,,0000-00-00,1,,
888,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加页面必输项检查-标题为空,管理员登录后台管理系统成功,"1. 点击内容管理-页面管理
2. 点击添加页面
3. 不填页面标题，点击添加","1. 跳转到页面管理界面
2. 跳转到页面编辑界面
3. 焦点自动定位到页面标题框，添加页面失败","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",必输项,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,,0000-00-00,1,,
886,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加分类必输项检查-分类名称为空,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 点击添加分类
3. 不填分类名称，点击添加","1. 跳转到分类管理界面
2. 跳转到分类编辑界面
3. 焦点自动定位到分类名称框","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",必输项,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
885,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加分类必输项检查-上级,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 点击添加分类
3. 不填上级，点击添加","1. 跳转到分类界面
2. 跳转到分类编辑界面
3. 焦点自动定位到分类框，添加分类失败","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",必输项,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,1,,
879,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加文章必输项检查-文章标题为空,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 点击添加文章
3. 不填文章标题，点击添加","1. 跳转到文章管理界面
2. 跳转到文章编辑界面
3. 焦点自动定位到到文章标题框，添加失败","符合预期结果1. 
2. 
3.",添加文章,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
878,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加文章必输项检查-文章分类为空,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 点击添加文章
3. 不选文章分类，点击保存","1. 跳转到文章管理界面
2. 跳转到文章编辑界面
3. 焦点自动定位到到分类框，文章保存失败","符合预期结果1. 
2. 
3.",添加文章,3,其他,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
875,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生账号设置个性化(#498),输入的昵称为0个字符,学生登录成功，进入个人设置界面,1. 输入的昵称为0个字符，点击保存,1. 提示信息错误，修改失败，停留在修改界面,符合预期结果1. 符合预期结果,修改昵称,3,其他,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,,0000-00-00,1,,
874,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生账号设置个性化(#498),输入的昵称长度大于10个字符,学生登录成功，进入账号设置界面,1. 输入大于10个字符的昵称，点击保存,1. 提示昵称最多10个字，修改失败，停留在修改界面,符合预期结果1. 符合预期结果,,3,其他,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,,0000-00-00,1,,
871,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),取消发布文章,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 勾选文章列表中的文章，点击取消发布","1. 跳转到文章管理界面
2. 提示取消发布成功，不更新发布时间，状态为x","符合预期结果1. 符合预期结果
2. 符合预期结果",取消发布文章,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,,0000-00-00,1,,
868,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生账号设置个性化(#498),修改头像,学生成功登录，进入首页-头像-我的课程,"1. 点击首页右上角的头像图标
2. 点击我的课程
3. 点击账号设置
4. 点击上传图片按钮
5. 选择图片
6. 点击保存","1. 头像下面显示我的课程按钮
2. 进入个人界面
3. 显示头像修改界面-上传图片按钮
4. 弹出本地图库
5. 提示操作成功
6. 头像更新","符合预期结果1. 
2. 
3. 
4. 
5. 
6.",头像,3,功能测试,"
功能测试阶段",正常,0,1,6,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,3,,
867,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生账号设置个性化(#498),修改昵称,学生登录成功，点击首页右上角的头像,"1. 点击首页右上角的头像
2. 点击我的课程
3. 点击账号设置
4. 输入新昵称，点击保存","1. 头像下面显示我的课程按钮
2. 进入个人界面
3. 显示昵称输入框
4. 提示操作成功，昵称更新","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果
4. 符合预期结果",昵称,3,功能测试,"
功能测试阶段",正常,0,1,4,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
866,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击个人头像-退出登录,学生登录成功,"1. 点击首页右上角的头像
2. 点击退出登录","1. 头像下面显示退出登录按钮
2. 提示退出成功","符合预期结果1. 符合预期结果
2. 符合预期结果",退出登录,1,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
865,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击个人头像-我的课程,学生登录成功,"1. 点击首页右上角的头像
2. 点击我的课程","1. 头像下面显示我的课程按钮
2. 进入个人界面","符合预期结果1. 符合预期结果
2. 符合预期结果",个人界面,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
864,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击个人头像,学生登录成功,1. 点击·首页右上角的个人头像,1. 头像下面显示年级、我的课程、退出登录三个按钮,符合预期结果1. 符合预期结果,我的,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
863,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),填写搜索框，点击搜索,学生登录成功,"1. 点击搜索框
2. 输入搜索内容后点击搜索","1. 可输入文字内容
2. 显示搜索出的课程图片","符合预期结果1. 符合预期结果
2. 符合预期结果",搜索,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
862,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击app下载,学生登录成功,1. 点击app下载按钮,1. 跳转到下载界面，显示二维码,符合预期结果1. 符合预期结果,下载,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
861,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击选课中心,学生登录成功,1. 点击选课中心按钮,1. 跳转到选课界面，可勾选学段、年级、类别分类,符合预期结果1. 符合预期结果,选课,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
860,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生首页(#419),点击首页,学生登录成功,1. 点击首页按钮,1. 返回到首页,符合预期结果1. 符合预期结果,首页,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
859,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生精选内容(#420),点击精选内容展示的课程图片,学生登录成功,1. 点击精选内容展示的课程图片,1. 跳转到被点击的课程详情界面,符合预期结果1. 符合预期结果,精选内容,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
857,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生直播课堂(#421),点击直播课堂的课程图片,学生登录成功,1. 点击直播课堂的课程图片,1. 跳转到被点击的课程详情界面,符合预期结果1. 符合预期结果,直播课堂,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
855,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生选课中心(#422),勾选学段、年级、类别,学生登录成功,1. 勾选学段、年级、类别的选项,1. 显示属于不同分类的课程图片,符合预期结果1. 符合预期结果,分类,3,功能测试,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
853,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),删除页面,管理员登录后台管理系统成功,"1. 点击内容管理-页面管理
2. 点击删除
3. 点击确定","1. 跳转到页面管理界面
2. 弹出提示“确定要删除吗”的窗口
3. 提示删除成功，被删除的页面从页面列表里消失","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",删除页面,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
852,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),编辑页面,管理员登录后台管理系统成功,"1. 点击内容管理-页面管理
2. 点击编辑
3. 点击保存","1. 跳转到页面管理界面
2. 跳转到页面编辑界面
3. 提示保存成功，页面内容更新","符合要求结果1. 符合要求结果
2. 符合预期结果
3. 符合预期结果",页面,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
851,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加页面,管理员登录后台系统成功,"1. 点击内容管理-页面管理
2. 点击添加页面
3. 点击保存","1. 跳转到页面管理界面
2. 跳转到页面编辑界面
3. 提示添加成功，添加的页面出现在页面列表里","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",添加页面,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
850,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),删除分类,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 点击删除
3. 点击确定","1. 跳转到分类管理界面
2. 弹出窗口提示“确定要删除吗”
3. 提示“删除成功”或“此分类有子类无法删除”，被操作的分类消失在分类列表中或仍存在分类列表中","符合预期结果1. 
2. 
3.",删除分类,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,3,,
849,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),编辑分类,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 点击编辑
3. 点击保存","1. 跳转到分类管理界面
2. 跳转到分类编辑界面
3. 提示保存成功，分类内容更新","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",编辑分类,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
848,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加分类,管理员登录后台管理系统成功,"1. 点击内容管理-分类管理
2. 点击添加分类
3. 点击保存","1. 跳转到分类管理界面
2. 跳转到分类编辑界面
3. 提示添加成功，添加的分类出现在分类列表里","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",添加分类,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
847,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),后台搜索,管理员登录后台管理系统成功,"1. 点击搜索框
2. 输入要搜索的内容，点击搜索","1. 可输入文字内容
2. 显示搜索出的结果","符合预期结果1. 符合预期结果
2. 符合预期结果",搜索,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
846,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),添加文章,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 点击添加文章
3. 点击添加","1. 跳转到文章管理界面
2. 跳转到文章编辑界面
3. 提示添加成功，添加的文章出现在文章列表里","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",添加文章,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
845,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),发布文章,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 勾选文章列表中的文章，点击发布","1. 跳转到文章管理界面
2. 提示发布成功，更新发布时间，状态为√","符合预期结果1. 符合预期结果
2. 符合预期结果",发布文章,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
844,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),删除文章,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 点击删除
3. 点击确定","1. 跳转到文章管理界面
2. 弹出窗口提示“确定要删除吗”
3. 提示删除成功，被删除的文章从文章列表中消失","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",删除文章,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
843,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台内容管理(#424),编辑文章,管理员登录后台管理系统成功,"1. 点击内容管理-文章管理
2. 点击编辑
3. 点击保存","1. 跳转到文章管理界面
2. 跳转到文字编辑界面
3. 提示保存成功，文章内容更新","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",编辑文章,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
840,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),取消用户讲师资格,管理员登录后台系统成功,"1. 点击用户管理-教师列表
2. 点击取消讲师
3. 点击确定","1. 跳转到教师列表
2. 弹出窗口提示“确定取消讲师”
3. 提示取消成功，被取消讲师的用户从讲师列表中消失，回到用户列表中","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",取消讲师,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
839,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),设置用户为讲师,管理员·登录·后台管理系统成功,"1. 点击用户管理-用户列表
2. 点击设置为讲师
3. 点击确实","1. 跳转到用户列表界面
2. 弹出窗口提示“确定设置讲师”
3. 提示设置讲师成功，被设置讲师的用户出现在教师列表中","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",设置为讲师,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
838,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),拉黑用户,管理员登录后台管理系统成功,"1. 点击用户管理-用户列表/教师列表
2. 点击拉黑
3. 点击确定","1. 跳转到用户列表/教师列表界面
2. 弹出窗口提示“您确定要拉黑此用户吗”
3. 提示拉黑成功，被拉黑的用户功能受限，无法正常使用，状态为已拉黑","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",拉黑,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
837,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),删除用户,管理员登录后台管理系统成功,"1. 点击用户管理-用户列表/教师列表
2. 点击删除
3. 点击确定","1. 跳转到用户列表/教师列表
2. 弹出窗口提示“确定要删除吗”
3. 提示删除成功，被删除的用户消失在用户列表中","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",删除用户,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
836,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台用户管理(#425),编辑用户信息,管理员登录后台管理系统成功,"1. 点击用户管理-用户列表/教师列表
2. 点击编辑
3. 点击保存","1. 跳转到用户列表/教师列表
2. 跳转到用户信息编辑界面
3. 提示保存成功，用户的信息同时更新到后端和前端","符合预期结果1. 符合预期结果
2. 符合预期结果
3. 符合预期结果",编辑用户,3,功能测试,"
功能测试阶段",正常,0,1,3,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
828,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),推送对象有，推送内容为空,管理员登录后台管理系统成功,"1. 点击推送
2. 填写推送对象，不填推送内容","1. 弹出推送编辑窗口
2. 提示推送内容为必填项","符合预期结果1. 符合预期结果
2. 符合预期结果",推送,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
827,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),推送对象有，推送内容有,管理员成功登录后台管理系统,"1. 点击推送
2. 填写推送对象，填写推送内容","1. 弹出推送编辑窗口
2. 提示推送成功，记录显示推送对象为填写的用户","符合预期结果1. 
2.",推送,3,功能测试,"
功能测试阶段",正常,0,1,2,失败,朱霄涵,2021/12/10,朱霄涵,2021/12/10,3,,
826,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),推送对象为空，推送内容为空,管理员成功登录后台管理系统,"1. 点击推送
2. 不填推送对象和推送内容","1. 弹出推送编辑窗口
2. 提示推送内容不能为空","符合预期结果1. 符合预期结果
2. 符合预期结果",推送,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
